cp,artist,song,section,spotify_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cp_length,genres
"1,5,4",david bowie,lady stardust,verse and pre-chorus,2ZWKuGuQ087pzwK4vO4E31,0.593,0.368,9.0,-12.257,1.0,0.0337,0.612,0.0,0.0905,0.484,128.8,201427.0,4.0,3,"['art rock', 'dance rock', 'glam rock', 'new wave', 'permanent wave', 'protopunk', 'rock']"
"1,5,4",boston,more than a feeling,verse,1QEEqeFIZktqIpPI4jSVSF,0.377,0.682,7.0,-8.039,1.0,0.0299,0.0008939999999999999,0.00217,0.0504,0.28800000000000003,108.736,285133.0,4.0,3,"['album rock', 'art rock', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
"1,5,4",u2,hold me thrill me kiss me kill me,verse and pre-chorus,5TsHqbDKaSs4ECZX0045YS,0.368,0.852,10.0,-6.978,0.0,0.0433,7.47e-05,0.258,0.218,0.34700000000000003,171.692,284600.0,4.0,3,"['irish rock', 'permanent wave', 'rock']"
"1,5,4",pussycat dolls,i hate this part,instrumental,3tSuRiNgJmMqmYR23dCqnR,0.7559999999999999,0.612,5.0,-4.371,1.0,0.0317,0.0659,0.0,0.27399999999999997,0.452,111.572,218400.0,4.0,3,"['australian pop', 'dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
"1,5,4",ennio morricone,the good the bad and the ugly,solo 1,6PrKZUXJPmBiobMN44yR8Y,0.134,0.474,9.0,-13.864,0.0,0.0518,0.826,0.58,0.195,0.133,98.854,203227.0,4.0,3,"['classic soundtrack', 'italian soundtrack', 'soundtrack', 'vintage italian soundtrack']"
"1,5,4",robin thicke,blurred lines,intro,0n4bITAu0Y0nigrz3MFJMb,0.862,0.608,7.0,-4.762,1.0,0.0402,0.00373,6.14e-06,0.0856,0.836,120.00200000000001,263827.0,4.0,3,"['dance pop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
"1,5,4",robin thicke,blurred lines,verse and pre-chorus,0n4bITAu0Y0nigrz3MFJMb,0.862,0.608,7.0,-4.762,1.0,0.0402,0.00373,6.14e-06,0.0856,0.836,120.00200000000001,263827.0,4.0,3,"['dance pop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
"1,5,4",robin thicke,blurred lines,chorus,0n4bITAu0Y0nigrz3MFJMb,0.862,0.608,7.0,-4.762,1.0,0.0402,0.00373,6.14e-06,0.0856,0.836,120.00200000000001,263827.0,4.0,3,"['dance pop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
"1,5,4",robin thicke,blurred lines,verse,0n4bITAu0Y0nigrz3MFJMb,0.862,0.608,7.0,-4.762,1.0,0.0402,0.00373,6.14e-06,0.0856,0.836,120.00200000000001,263827.0,4.0,3,"['dance pop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
"1,5,4",the moody blues,tuesday afternoon,verse,31pi9vJJWHZxygk8AoGd0d,0.493,0.312,0.0,-13.207,1.0,0.0295,0.102,0.024,0.248,0.319,113.56299999999999,249004.0,4.0,3,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk', 'folk rock', 'hard rock', 'mellow gold', 'progressive rock', 'psychedelic rock', 'rock', 'soft rock', 'symphonic rock']"
"1,5,4",big star,september gurls,verse,731zWsKI2KvdBPO5MWdjSy,0.373,0.85,4.0,-4.567,1.0,0.0342,0.000199,0.0077,0.124,0.629,114.029,168067.0,4.0,3,"['alternative country', 'alternative pop', 'alternative rock', 'art rock', 'brill building pop', 'country rock', 'dance rock', 'experimental', 'folk', 'folk rock', 'garage rock', 'gbvfi', 'indie rock', 'jangle pop', 'lo-fi', 'melancholia', 'noise pop', 'post-punk', 'power pop', 'protopunk', 'psychedelic rock', 'pub rock', 'rock', 'roots rock', 'slow core']"
"1,5,4",traveling wilburys,handle with care,intro and verse,1vQxicuNSODoBECPMFjHMG,0.6759999999999999,0.7709999999999999,7.0,-5.981,1.0,0.0283,0.109,0.0,0.247,0.708,115.073,199587.0,4.0,3,"['album rock', 'art rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock']"
"1,5,4",jimi hendrix,angel,verse,3t3CO2eP3gLbiFFN5Z4gmB,0.409,0.716,1.0,-9.863,0.0,0.141,0.0205,0.8059999999999999,0.157,0.474,158.804,234867.0,4.0,3,"['album rock', 'blues-rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']"
"1,5,4",bruno mars,locked out of heaven,chorus,3w3y8KPTfNeOKPiqUTakBh,0.726,0.698,5.0,-4.165,1.0,0.0431,0.049,0.0,0.309,0.867,143.994,233478.0,4.0,3,"['pop', 'post-teen pop']"
"1,5,4",katy perry,firework,verse,4lCv7b86sLynZbXhfScfm2,0.638,0.826,8.0,-4.968,1.0,0.0479,0.139,0.0,0.0803,0.649,124.072,227880.0,4.0,3,"['dance pop', 'pop', 'post-teen pop']"
"1,5,4",man man,gold teeth,chorus,1mNvZDXovSifsFtHMe5u9W,0.278,0.541,0.0,-7.485,1.0,0.0311,0.49700000000000005,0.00032900000000000003,0.161,0.318,156.59799999999998,352120.0,4.0,3,"['freak folk', 'gypsy punk', 'indie pop', 'indie rock', 'philly indie', 'stomp and holler']"
"1,5,4",the white stripes,fell in love with a girl,verse,6YK2tAEYnHgYkkC6TSziqM,0.17800000000000002,0.981,4.0,-1.743,0.0,0.162,0.7040000000000001,7.45e-05,0.8540000000000001,0.369,88.21,110093.0,4.0,3,"['alternative rock', 'blues-rock', 'garage rock', 'indie rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
"1,5,4",lana del rey,florida kilos,verse,0iQPnK3bi7O27c5T2HBTdr,0.266,0.513,0.0,-7.852,1.0,0.0388,0.28,5.98e-05,0.11,0.579,200.78099999999998,256040.0,4.0,3,['pop']
"1,5,4",the white stripes,dead leaves and the dirty ground,intro,11NpHoPIRGEQxp0lWB46Ys,0.363,0.611,11.0,-4.215,0.0,0.033,0.47100000000000003,3.45e-06,0.0735,0.46,80.842,183933.0,4.0,3,"['alternative rock', 'blues-rock', 'garage rock', 'indie rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
"1,5,4",alanis morissette,you oughta know,chorus,3jS7bB0oXVOwGFZn3aE5NV,0.665,0.8340000000000001,4.0,-7.737,1.0,0.0576,0.21,0.0,0.452,0.41100000000000003,105.292,249493.0,4.0,3,"['alternative rock', 'canadian pop', 'folk-pop', 'lilith', 'new wave pop', 'pop rock', 'singer-songwriter']"
"1,5,4",sam smith,leave your lover,verse,3b5LW3nS3WFQyS1e8ajGJN,0.415,0.264,4.0,-8.741,1.0,0.0475,0.948,6.31e-06,0.106,0.35700000000000004,92.87899999999999,188377.0,5.0,3,['pop']
"1,5,4",carrie underwood,before he cheats,bridge,0ZUo4YjG4saFnEJhdWp9Bt,0.519,0.7490000000000001,6.0,-3.318,0.0,0.0405,0.271,0.0,0.11900000000000001,0.29,147.905,199947.0,4.0,3,"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop', 'post-teen pop']"
"1,5,4",rush,by-tor and the snow dog,verse,0hRJNNyjoIlRcrgYVypM2Y,0.317,0.698,9.0,-10.214,1.0,0.0824,0.0016899999999999999,0.28300000000000003,0.0953,0.33399999999999996,162.132,517373.0,4.0,3,"['album rock', 'art rock', 'canadian metal', 'classic canadian rock', 'classic rock', 'hard rock', 'metal', 'progressive rock', 'rock', 'symphonic rock']"
"1,5,4",the quiet revolution,parallel me,intro and verse,70KqTD2Dgosx4mXvHtzcKn,0.617,0.138,2.0,-12.139000000000001,0.0,0.0339,0.9470000000000001,0.00044100000000000004,0.0902,0.494,74.624,156949.0,4.0,3,[]
"1,5,4",nobuo uematsu,terra,verse,0CLxxKOgdqS2whuVZnG2kB,0.33299999999999996,0.306,5.0,-11.599,1.0,0.0274,0.774,0.968,0.0816,0.18899999999999997,93.32600000000001,261267.0,4.0,3,"['anime score', 'chiptune', 'japanese classical', 'otacore', 'scorecore', 'video game music']"
"1,5,4",weird al yankovic,hardware store,verse,2Q26sym8OSOl6PfH7LLPtJ,0.7070000000000001,0.867,8.0,-12.443,1.0,0.0703,0.185,0.000338,0.32899999999999996,0.684,126.13799999999999,223907.0,4.0,3,"['comedy rock', 'comic']"
"1,5,4",absynthe minded,end of the line,chorus,2ackeZqR5i1D1IGM6yEN6F,0.45299999999999996,0.809,9.0,-4.725,1.0,0.0283,0.0655,0.0,0.21,0.904,137.094,229680.0,4.0,3,['belgian rock']
"1,5,4",foo fighters,congregation,intro,40cLVGkjzcZ5FJ3vHkXB0e,0.405,0.91,2.0,-5.441,1.0,0.0428,5.610000000000001e-05,2.6300000000000002e-05,0.0652,0.575,151.915,311907.0,4.0,3,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
"1,5,4",magic,let your hair down,verse,0uQSHrFDVtbQyxNFCwm1EC,0.649,0.5920000000000001,10.0,-6.9239999999999995,1.0,0.0497,0.0934,0.000529,0.182,0.466,148.01,265693.0,4.0,3,"['pop', 'reggae fusion']"
"1,5,4",radical face,welcome home,intro,6HTVZeVQ9J6Uiq6tHESxU9,0.5870000000000001,0.49700000000000005,6.0,-10.757,1.0,0.0307,0.723,0.782,0.142,0.401,144.972,287634.0,3.0,3,"['chamber pop', 'folk-pop', 'indie folk', 'indie pop', 'jacksonville indie', 'modern rock', 'stomp and holler']"
"1,5,4",deadmau5,october,chorus,2sQs0lYqpkND8woIrBp5j2,0.669,0.736,1.0,-9.449,1.0,0.0465,0.23800000000000002,0.905,0.092,0.0855,127.991,443413.0,4.0,3,"['big room', 'edm', 'electro house', 'progressive house']"
"1,5,4",electric light orchestra,do ya,bridge,0NN32Knbyo4gM1DKY9rdzg,0.494,0.5710000000000001,2.0,-5.862,1.0,0.0332,0.0394,0.000518,0.602,0.7120000000000001,124.045,225107.0,4.0,3,"['album rock', 'art rock', 'bow pop', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
"1,5,4",hixxy,sacrifice,chorus,765OKBaO02jhRgFPgv4FEk,0.455,0.983,5.0,-3.867,1.0,0.0787,2.71e-05,0.309,0.33,0.188,145.97899999999998,438904.0,4.0,3,"['bouncy house', 'happy hardcore', 'hardcore techno']"
"1,5,4",nick jonas,levels,chorus,6pf9datdAtxQj4EU8UYHSx,0.43200000000000005,0.6559999999999999,5.0,-4.669,0.0,0.428,0.0488,0.0,0.256,0.66,199.232,167693.0,4.0,3,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'viral pop']"
"1,5,4",lady gaga,again again,intro and verse,3DKpA54hrFIdPN6AtL9HXa,0.45,0.335,7.0,-7.4639999999999995,1.0,0.0298,0.785,1.25e-06,0.0979,0.25,109.90799999999999,281235.0,4.0,3,"['dance pop', 'pop']"
"1,5,4",bee gees,to love somebody,verse,0mbS3VwRbO6HVBMPXnzOGA,0.405,0.37799999999999995,9.0,-12.342,1.0,0.0304,0.716,7.23e-06,0.289,0.563,90.851,182000.0,4.0,3,"['disco', 'mellow gold', 'soft rock']"
"1,5,4",duran duran,hungry like the wolf,chorus,39lSeqnyjZJejRuaREfyLL,0.691,0.812,0.0,-7.772,1.0,0.0558,0.0433,1.16e-06,0.299,0.685,127.568,220627.0,4.0,3,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']"
"1,5,4",big shake,big shake,intro and verse,5FIuy1qgSfOENMDKHjsAsb,0.789,0.858,8.0,-6.745,1.0,0.209,0.19899999999999998,1.06e-06,0.223,0.557,111.464,213160.0,4.0,3,"['swing', 'traditional swing']"
"1,5,4",a perfect circle,the nurse who loved me,pre-chorus and chorus,0yRtn9coNCSWIigvKJA5wn,0.188,0.192,1.0,-15.355,1.0,0.0342,0.971,0.0195,0.183,0.131,149.791,244773.0,3.0,3,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'post-grunge', 'rap rock', 'rock']"
"1,5,4",sufjan stevens,casimir pulaski day,verse,1u1YU1LE0FWHFOHpR2iXua,0.6859999999999999,0.172,8.0,-14.979000000000001,1.0,0.0409,0.909,0.0015400000000000001,0.28600000000000003,0.563,133.899,353947.0,4.0,3,"['chamber pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'singer-songwriter', 'stomp and holler']"
"1,5,4",ween,happy colored marbles,chorus,1czWhY1yxRpoeKagrhzfah,0.687,0.47200000000000003,0.0,-7.124,1.0,0.026000000000000002,0.494,0.00361,0.0979,0.262,129.385,194000.0,4.0,3,"['alternative rock', 'funk rock', 'indie rock', 'lo-fi']"
"1,5,4",tim minchin,not perfect,verse,6Vq8WWnER1NnpjuvcVyInp,0.489,0.40299999999999997,9.0,-8.601,1.0,0.0436,0.8390000000000001,2.55e-06,0.6920000000000001,0.34700000000000003,73.153,396000.0,4.0,3,['comic']
"1,5,1",billy joel,she's always a woman,verse,49Xl1XmZQ5pSJJX98Bmpun,0.29600000000000004,0.315,3.0,-11.0,1.0,0.0339,0.8420000000000001,8.070000000000001e-05,0.111,0.369,177.304,200320.0,3.0,3,"['album rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']"
"1,5,1",creedence clearwater revival,have you ever seen the rain,verse,5DnT9a5IM3eMjKgXTWVJvi,0.743,0.47,0.0,-13.154000000000002,1.0,0.028999999999999998,0.0936,3.15e-05,0.18600000000000003,0.89,116.12200000000001,160333.0,4.0,3,"['album rock', 'classic rock', 'rock', 'roots rock', 'southern rock']"
"1,5,1",the beatles,when i'm sixty-four,verse,1NrbnHlR2BFREcyWXHIHip,0.7040000000000001,0.24100000000000002,1.0,-13.258,1.0,0.0476,0.625,2.8000000000000003e-05,0.0868,0.6609999999999999,140.411,157667.0,4.0,3,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']"
"1,5,1",scott joplin,the entertainer,verse,6DWIm1TfM9WiCNQeLbbAsd,0.489,0.147,5.0,-24.483,1.0,0.0701,0.993,0.856,0.0981,0.79,160.274,233600.0,4.0,3,"['american modern classical', 'post-romantic era', 'ragtime', 'stride', 'tin pan alley']"
"1,5,1",weird al yankovic,since you've been gone,chorus,5exnaLEXn7VPgxjJtPtCEV,0.726,0.39,9.0,-8.548,1.0,0.102,0.561,0.0,0.326,0.879,132.10299999999998,82427.0,3.0,3,"['comedy rock', 'comic']"
"1,5,1",disney,a whole new world,verse,0c5rB7E7bghYtOOKdmRUGC,0.45899999999999996,0.0641,7.0,-25.134,1.0,0.0843,0.995,0.9420000000000001,0.0791,0.149,179.57299999999998,194656.0,4.0,3,[]
"1,5,1",the head and the heart,shake,intro and verse,5m1L3o7fOfLFyw6VwumROL,0.48,0.79,4.0,-7.775,1.0,0.0353,0.47200000000000003,0.713,0.155,0.446,111.025,241707.0,4.0,3,"['folk-pop', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'neo mellow', 'new americana', 'seattle indie', 'stomp and holler']"
"1,5,1",bob marley,no woman no cry,chorus,423hwXFgoN8RYmqLoLuVvY,0.655,0.657,1.0,-9.325,1.0,0.067,0.261,0.0204,0.737,0.593,78.223,427800.0,4.0,3,"['reggae', 'roots reggae']"
"1,5,1",soundprank,boundless energy,chorus,5MhieiCK2Q1argA5apvbZU,0.34,0.9,10.0,-7.106,0.0,0.0613,0.00815,0.785,0.109,0.425,129.398,374960.0,4.0,3,"['progressive house', 'progressive trance house']"
"1,5,1",john legend,all of me,pre-chorus and chorus,3U4isOIWM3VvDubwSI3y7a,0.42200000000000004,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93,269560.0,4.0,3,"['neo soul', 'pop', 'r&b', 'urban contemporary']"
"1,5,1",jessica lea mayfield,bible days,bridge,0UrK6DDFDRN3FDZ3wkbjCR,0.45399999999999996,0.405,7.0,-8.215,0.0,0.0314,0.466,0.000667,0.0952,0.19699999999999998,117.404,207040.0,4.0,3,"['folk-pop', 'stomp and holler']"
"1,5,1",tom jones,delilah,chorus,2v8B8d17Xxu9uLU5sNiHSL,0.529,0.49700000000000005,9.0,-10.924000000000001,0.0,0.0273,0.614,2.12e-06,0.5489999999999999,0.7909999999999999,95.90799999999999,204160.0,1.0,3,"['adult standards', 'brill building pop', 'british invasion', 'christmas', 'mellow gold']"
"1,5,1",black lace,hokey cokey,verse,3xwjPsxgeE50PF0TJqRd5j,0.473,0.5329999999999999,2.0,-10.905,1.0,0.132,0.135,0.0,0.0504,0.818,141.966,161960.0,4.0,3,['europop']
